fecha,rinde
1985-12-31,60.46
1986-12-31,61.52
1987-12-31,55.77
1988-12-31,61.69
1989-12-31,57.13
1990-12-31,59.84
1991-12-31,60.56
1992-12-31,54.04
1993-12-31,58.81
1994-12-31,61.83
1995-12-31,64.37
1996-12-31,60.43
1997-12-31,56.21
1998-12-31,61.39
1999-12-31,53.18
2000-12-31,65.27
2001-12-31,61.8
2002-12-31,61.65
2003-12-31,61.1
2004-12-31,57.5
2005-12-31,56.8
2006-12-31,57.8
2007-12-31,58.3
2008-12-31,58.9
2009-12-31,53.1
2010-12-31,56.7
2011-12-31,55
2012-12-31,53.9
2013-12-31,53.9
2014-12-31,56.1
2015-12-31,59.1
2016-12-31,60
2017-12-31,59.3
2018-12-31,61.3
2019-12-31,56.9
2020-12-31,56.1
